"name","Total_production_2021","Freshwater_production_2021","longitude","latitude"
"Afghanistan",1800,1800,66.0036504602094,33.8403478394422
"Armenia",73.034,769.999,45.009831633645,40.2143534917562
"Azerbaijan",1463,1464,47.5556284584786,40.2194789141871
"Bangladesh",1869958,1301244,90.2768037680827,23.8335881546212
"Bhutan",1.1,1.1,90.472727593537,27.4296199933676
"Brunei",12938.953,0.06,114.914995328543,4.69030265299299
"Cambodia",481048.289,383050,104.874206678185,12.6848013120441
"China",9074516.064,1199212,103.452829748706,36.6834995130714
"Cyprus",1366.479,20,33.0387196015105,34.9078073511074
"East Timor",6525.9,0,125.966922481266,-8.7682191779843
"Georgia",197565.054,20,43.4991098366291,42.1676155727667
"India",4288294.91,1847000.002,79.5402366092554,22.819235023474
"Indonesia",6307560.387,458891.19,117.362872715159,-2.27171465246607
"Iran",762994.744,107628,54.4528327092959,32.4741062013595
"Iraq",42407.989,36358.454,43.7869617381452,33.0099706011364
"Israel",1875,925,35.0004893895247,31.4786129298195
"Israel",1875,925,35.2729688998178,31.9405084468734
"Japan",2645197.141,18485,137.711402823532,37.5357448812414
"Jordan",665,410,36.766062241656,31.2401048081305
"Kazakhstan",41457.329,41457.329,67.2354357925143,48.4058809900222
"Kuwait",2370,0,47.6006535053462,29.3069115997788
"Kyrgyzstan",22,22,74.5868404379704,41.518625161104
"Laos",71000,71000,103.787568856757,18.4306904424203
"Lebanon",2545,15,35.8680371229494,33.9104701857642
"Malaysia",1112326.996,5561.94,109.699939273076,3.7463481540932
"Mongolia",0,0,103.015587900364,46.9541791739521
"Myanmar",1643078,786110,96.5131617972916,20.944634777935
"Nepal",21000,21000,84.0438858269596,28.2489795068534
"North Korea",183240,5050,127.131012953216,40.1299255583525
"Oman",905948.761,0,56.0676723205059,20.5911234436718
"Pakistan",452555.999,149852,69.2349478229117,29.9081180420212
"Philippines",1678455.904,201056.344,122.938167729762,11.7188332751526
"Qatar",15511.7,0,51.1833056880687,25.3209781844046
"Saudi Arabia",54693,0,44.6415340263888,24.089567118762
"South Korea",1015659.758,5500,127.819780536431,36.4182317949341
"Sri Lanka",340395.552,62157.1,80.6677435336805,7.69923171840315
"Syria",4195,2530,38.5231163967682,35.0083043200818
"Tajikistan",2350.215,2350.215,71.0482801967594,38.5890289876073
"Thailand",1171756.13,115064.83,101.002794868882,14.9809833815181
"Turkey",293457.7,33140,35.1172166749591,39.1450671353734
"Turkmenistan",15042,15042,59.3483681805616,39.1021502024725
"United Arab Emirates",67315,0,54.2006758537066,23.8714985488604
"Uzbekistan",53000,53000,63.3658636036768,41.7710869952197
"Vietnam",2912837.09,149504.09,106.332953637199,16.5553195051839
"Yemen",142705,0,47.51493495725,15.9220806289242
