province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Qinghai,5006.913311,6047.054718,6684.667672,7428.711112,7943.918987,8574.567264,9551.121385,10345.03134,11445.7416,12161.81001,12359.80526,13812.91772,14645.57085,8704.718824,8957.565489,9211.440848,9564.488015,9919.596872,10278.17101,10638.59656,11002.54701,11312.50042,11626.53418,11943.25586,12263.6115,12588.05025,12881.52663,13178.59859,13480.46741,13787.17453,14100.00828,14384.23257,14674.38921,14971.2152,15275.7557,15586.83808,15851.67525,16051.23297,16444.48608,16685.46887,16934.70174,17182.56078,17439.25013,17705.38537,17980.4313,18264.26481,18556.01166,18855.92123,18992.60811,19307.17246,19628.9128,19782.18242,20115.21075,20278.3506,20624.82828,20978.49487,21155.25569,21518.49193,21701.98464,21888.07672,22265.2474,22458.48463,22653.55269,23045.15592,23246.55985,23450.98832,23856.67387,24067.96311,24281.66243,24498.32534,24923.50441,25147.24648,25373.57344,25603.14449,25834.97684,26069.15868,26306.08632,26766.32515,27012.8085,27263.02066,27518.50732,27778.27111,28041.75463,28309.33846,28580.57837,28855.87178,29373.30969,29657.98556,29945.66687,30236.80581,30531.16028
Shaanxi,6617.126801,8137.267214,9396.079717,10525.4747,11429.8771,11696.99053,12349.3288,13844.50862,15351.07133,16439.56569,16511.60447,19043.40368,20643.00989,10460.82335,10395.04789,10362.5008,10812.87164,11245.77263,11711.65602,12185.53377,12642.50617,13056.41576,13477.27946,13905.53535,14340.50603,14782.22238,15179.20766,15582.15996,15991.68515,16433.14515,16854.39041,17256.38951,17637.92019,18052.73556,18475.29397,18905.38774,19262.91212,19655.90284,20030.69416,20443.13365,20838.86996,21192.2407,21529.43952,21907.89193,22299.41959,22674.74479,23032.97514,23402.51673,23783.41279,24175.1263,24576.81137,24988.73968,25378.03949,25777.88947,26188.47278,26638.80464,27031.78551,27432.02926,27839.81661,28258.26346,28685.62045,29089.38066,29536.17353,29957.29097,30421.89721,30858.21156,31264.43746,31712.58636,32128.03875,32586.29812,33010.70312,33436.28795,33861.88937,34288.88592,34753.68884,35177.00653,35597.99163,36018.61108,36439.60793,36860.32765,37284.75678,37713.01875,38137.59662,38561.36983,38989.46241,39420.52457,39810.4353,40201.30472,40595.38794,41042.7661,41451.14232
Shandong,8873.325748,10165.80722,11150.77575,12213.10994,12957.81623,14102.82514,14836.68818,15870.71961,16702.30609,17633.74649,18068.74126,20591.95536,21634.9359,14994.60318,16461.87697,17938.74938,18637.92616,19446.07529,20264.40722,21092.75921,21832.34419,22580.51206,23337.4889,24004.55582,24781.10111,25467.00293,26162.95814,26868.54073,27584.32671,28310.00473,28943.5048,29691.40578,30347.4165,31015.61226,31696.99398,32391.90639,32996.8218,33617.21118,34254.53153,34909.88417,35584.65705,36172.21906,36780.18912,37410.23154,38061.28913,38733.10889,39310.85496,40019.40389,40628.75954,41250.36465,42000.21294,42641.43402,43168.57588,43823.23921,44483.39541,45146.35506,45686.66043,46353.23385,46895.32137,47440.03541,47987.93713,48540.81025,49096.8645,49656.79235,50220.83336,50789.83475,51365.0024,51947.19084,52396.6018,52990.76217,53590.74689,54192.51245,54651.81508,55254.794,55854.61821,56305.07967,56900.87498,57350.0635,57801.51849,58405.52817,58861.98627,59321.53039,59934.67059,60394.56317,60859.74876,61492.01387,61975.36787,62468.85964,62973.37399,63488.13588,64011.63433
Shanghai,19482.18859,21073.52667,22036.43936,23842.51172,25834.79234,27366.32312,30268.94299,33204.39831,36181.08271,38086.42442,38973.70261,43484.08014,44675.8084,27501.93901,29738.56682,31962.31939,33412.42145,34889.00703,36433.52138,37965.87992,39526.78323,40911.18473,42446.44845,43928.53375,45440.48695,46562.94568,48133.31205,49735.80299,50943.04786,52609.19848,53875.91594,55171.46437,56938.9363,58300.30836,59696.20288,61582.32432,63061.14134,64125.13684,65697.45678,67324.4691,69012.64935,70285.61523,72105.72492,73509.64498,74980.80117,77032.21239,78660.69524,80367.15893,82161.01927,84037.59713,85991.74249,87476.26788,89596.66982,91823.55163,94168.45371,96613.63218,98552.48437,101200.0388,103957.748,106194.7433,109199.0113,111657.1646,114908.8125,117570.2965,121051.7795,123909.0684,127611.0696,130641.9424,133732.8984,137694.1847,140884.8153,144070.3598,148136.6946,151353.2684,154490.33,157520.0638,160427.5232,164210.4169,166963.8131,169594.7703,172137.0122,174588.7869,177924.2421,180102.5447,182168.1849,184159.3058,186129.6207,188128.4563,190189.3652,192335.6169,195718.0977
Shanxi,6244.381981,7603.708738,8113.80888,8255.992117,8285.521137,8068.794378,8069.779464,9732.418286,10654.01907,11247.00522,11755.70478,14985.21446,16733.46912,10184.73529,11027.77636,11847.90606,12338.35153,12835.42989,13314.21217,13826.16595,14346.21108,14796.33994,15227.71296,15692.1676,16137.79081,16616.04768,17023.26426,17462.21636,17907.26231,18331.3309,18786.47516,19194.33417,19607.05711,20051.91507,20476.43765,20907.23087,21291.73917,21656.8933,22057.32076,22439.61229,22832.25363,23180.81715,23513.2187,23857.67565,24214.05653,24610.85709,24962.54265,25324.42469,25697.13313,26079.0704,26469.36364,26808.44141,27153.13847,27506.64812,27867.06376,28231.49247,28599.91352,28939.77676,29313.95829,29661.35874,30043.91344,30367.10764,30693.24106,31055.79754,31390.31171,31763.03466,32106.30478,32453.40054,32803.74838,33158.60571,33553.05053,33881.89364,34249.81796,34586.96568,34960.65986,35300.01843,35639.49689,35977.8246,36278.103,36613.99229,36950.08944,37246.3355,37535.96617,37863.80285,38155.02831,38485.44217,38775.59259,39103.53992,39432.2834,39764.24079,40099.33318
Sichuan,5371.963187,6588.920319,7479.86801,8284.454739,8998.331468,9423.625988,10267.46512,11724.7614,13299.11668,14253.78896,14961.41726,16653.67435,17371.70506,9562.371817,9538.42416,9519.329764,9933.485212,10353.4844,10779.71325,11212.40623,11652.00941,12036.01846,12426.1609,12860.50043,13163.99785,13599.4278,14042.37759,14366.05687,14824.309,15162.1226,15635.53561,15987.6354,16346.37941,16712.28902,17218.74579,17601.76464,17993.17162,18258.19868,18666.66212,19084.86088,19513.30091,19817.35599,20130.92506,20455.60543,20934.86204,21283.31528,21642.4132,22011.68253,22390.10723,22777.10021,23170.37038,23415.97081,23820.34305,24232.80703,24654.30607,25081.44274,25350.24903,25783.70474,26054.15441,26493.65083,26767.78746,27215.61789,27496.22774,27954.6101,28244.10362,28716.92374,29018.18346,29324.50902,29635.67157,30138.25085,30463.4323,30795.70923,31136.3559,31679.14491,32033.9977,32393.58677,32759.89054,33133.78797,33719.10526,34103.65377,34490.80551,34880.24379,35268.55402,35658.12029,36051.97781,36449.20552,36849.75904,37478.62866,37884.42967,38293.46407,38704.69507
Tianjin,13216.17261,15290.99901,16691.16174,17903.86316,18806.32786,18871.98744,19579.63742,20907.26963,22180.10724,23087.32196,22869.17146,25463.48565,26381.13294,21597.3878,23915.33075,26180.40501,27245.92614,28394.69081,29499.41036,30689.26028,31836.83111,32875.92267,33934.43738,35013.71781,36113.14951,37231.97299,38239.32277,39263.58096,40304.97253,41362.4595,42434.46527,43456.05466,44423.8107,45471.1944,46533.35372,47609.43766,48495.8803,49399.71722,50392.09651,51338.4034,52310.22718,53097.42817,53987.91702,54840.3777,55802.36563,56731.99629,57702.06667,58636.0419,59686.46323,60703.66312,61833.81972,62847.55969,63897.50619,64916.53708,66071.63331,67265.49362,68412.93951,69594.06021,70897.04493,72160.54743,73463.95095,74723.05434,76016.30405,77339.26476,78690.22911,80154.04718,81442.44559,82837.55867,84242.47476,85558.95273,86975.17728,88278.52038,89572.27202,90747.70497,91983.61705,93169.16038,94305.57705,95401.23922,96471.24525,97515.89831,98665.40497,99565.85833,100511.3078,101276.3747,102100.2384,102880,103515.0269,104257.8098,104884.2508,105641.0371,106298.9196
Tibet,4281.268319,5053.587002,5811.596698,6712.420829,7543.739758,8295.347944,9245.875637,10541.71816,12000.7274,13055.93737,14521.95862,15767.01049,16060.93175,9160.865678,8930.088139,8705.418798,9036.40897,9367.768349,9700.480324,10033.47152,10368.38034,10656.14908,10947.12564,11240.27852,11536.92386,11837.58373,12113.78975,12394.27707,12680.77129,12973.98072,13274.92487,13562.63459,13857.86452,14161.34468,14473.77856,14794.01452,15075.81809,15366.70374,15669.01011,15981.42782,16304.81105,16591.84013,16890.51331,17200.61903,17522.92413,17857.65412,18178.12283,18510.64373,18856.04768,19215.11513,19588.88593,19956.3948,20338.63423,20736.39991,21150.83088,21581.88381,22007.93791,22450.08315,22909.99572,23388.82162,23886.24793,24378.94851,24890.27134,25421.09743,25971.33321,26540.32397,27116.90892,27713.33043,28328.56142,28964.172,29621.55918,30288.45929,30978.00192,31689.834,32426.65102,33190.68712,33970.89698,34779.71855,35617.79382,36487.7756,37387.3685,38307.50765,39255.97579,40235.41814,41244.84627,42288.28546,43347.74013,44447.27455,45582.14291,46753.31308,47961.50837
Xinjiang,6142.332982,7403.351949,8240.859956,9136.225163,9913.657174,9782.741682,9946.641428,11365.64426,12822.34312,13411.81039,13406.7356,15626.51215,16777.30957,9419.440071,9712.591182,9967.313759,10292.76807,10615.59175,10901.00973,11219.91869,11536.80697,11747.18694,11989.15268,12228.40691,12464.32715,12697.03167,12893.23459,13053.64423,13244.46557,13432.66375,13618.60539,13771.27511,13891.14808,14042.7822,14194.51618,14347.37184,14440.3947,14535.94277,14665.15393,14767.51991,14874.05826,14886.48829,14932.64328,14954.17032,14980.13074,15039.61283,15044.88139,15082.36826,15094.34092,15137.64458,15154.36019,15173.26914,15193.10834,15215.0187,15238.3839,15234.98719,15232.25288,15229.53596,15226.73723,15224.54717,15222.58483,15221.29484,15192.45023,15191.09263,15162.90014,15161.88967,15134.65338,15107.91566,15081.56188,15056.41515,15032.60814,15010.96626,14990.94576,14973.1196,14957.15593,14943.41277,14906.21857,14897.18174,14864.60352,14859.90993,14831.49273,14829.96866,14804.05569,14805.12669,14781.84114,14784.97765,14763.85705,14743.91716,14725.24552,14733.49409,14717.71362
Yunnan,4220.440481,5161.141862,5957.706328,6824.616788,7424.677595,7847.980064,8514.090768,9541.327963,10696.82449,11815.86281,12395.71475,13634.02041,14445.00155,7478.106804,7321.025862,7188.49471,7470.136763,7733.677786,8018.502831,8285.930183,8574.863637,8807.336457,9041.160025,9295.774723,9532.628618,9790.000662,9991.528216,10213.51828,10417.93114,10642.84155,10869.03938,11059.00055,11270.05469,11464.77056,11681.83849,11902.30443,12069.3573,12240.64722,12416.35083,12616.23912,12801.99427,12954.39673,13112.18483,13275.49138,13444.33114,13618.4773,13777.61972,13941.1299,14088.48011,14258.85701,14431.94846,14566.86988,14723.55271,14861.9554,15021.87468,15161.85184,15301.92978,15441.85492,15581.62271,15700.48195,15840.24104,15959.03912,16077.72377,16196.72286,16316.41763,16436.94075,16558.43377,16681.04961,16783.04965,16908.55204,17035.14748,17140.60247,17247.46922,17355.82889,17465.19206,17575.64028,17687.1505,17800.06657,17913.91988,18028.5801,18144.37225,18237.33529,18353.90538,18447.62851,18566.15755,18661.87647,18782.55834,18880.38495,18979.77927,19105.42628,19208.46579
Zhejiang,12622.43695,14311.4485,15224.54813,16429.88268,17447.7641,18907.77847,20356.18283,22482.45232,24767.35215,26702.24608,27447.78453,31417.08219,32859.12781,19850.30281,21005.78382,22172.22311,23182.89878,24038.19403,25074.78091,26125.2323,27021.21153,27929.51734,28850.68428,29614.93941,30562.55592,31524.39772,32329.37609,33148.47476,34155.25854,35003.69515,35866.88996,36745.63562,37641.1663,38555.34508,39310.94068,40266.65369,41066.62211,41891.96347,42745.94835,43631.13301,44550.0249,45318.61099,46313.11802,47157.95763,48043.4536,48970.39356,49938.38258,50745.85271,51789.36627,52867.95925,53769.78616,54907.07716,55857.04449,56826.91067,58032.97112,59033.25932,60042.71656,61059.52407,62081.06142,63107.61016,64139.877,65177.75031,66220.20131,67022.43423,68075.44265,69136.58723,69949.97377,71022.60621,72103.31778,72926.43781,74013.98806,74831.15848,75913.9217,76715.08014,77497.35721,78539.72856,79280.98568,80001.61265,80991.38781,81672.97284,82337.44236,82987.61582,83923.01196,84556.0255,85188.91825,85823.00999,86769.77275,87419.35913,88080.01588,88754.27893,89445.37303
