lat,lon
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
30.666667,114.383333
22.65823333,113.6189833
22.65823333,113.6189833
22.89738333,113.0252667
22.89738333,113.0252667
22.71761667,113.0736833
22.71761667,113.0736833
22.54515,113.2174333
22.54515,113.2174333
36.91666667,118.1166667
36.91666667,118.1166667
36.91666667,118.1166667
34.212523,108.483477
34.932118,114.190425
35.8193,103.186463
31.029453,103.55362
29.801873,102.814125
37.618484,105.897641
38.238708,114.28301
37.77174,112.50847
36.91666667,118.1166667
36.91666667,118.1166667
36.91666667,118.1166667
36.91666667,118.1166667
45.199722,124.363778
45.199722,124.363778
45.199722,124.363778
45.199722,124.363778
45.199722,124.363778
45.199722,124.363778
45.199722,124.363778
26.666639,106.535444
26.666639,106.535444
26.666639,106.535444
26.666639,106.535444
26.666639,106.535444
26.666639,106.535444
26.666639,106.535444
26.666639,106.535444
26.666639,106.535444
29.608528,119.033806
29.608528,119.033806
29.608528,119.033806
29.608528,119.033806
29.608528,119.033806
29.608528,119.033806
29.608528,119.033806
29.608528,119.033806
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
38.115476,111.865481
40.762639,111.787636
37.303625,101.105363
39.123487,97.787316
38.397754,102.875278
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
25.342667,116.35575
29.161028,108.251361
29.161028,108.251361
29.161028,108.251361
29.161028,108.251361
29.161028,108.251361
29.161028,108.251361
29.161028,108.251361
29.161028,108.251361
29.161028,108.251361
45.719667,133.436722
45.719667,133.436722
45.719667,133.436722
45.719667,133.436722
45.719667,133.436722
45.719667,133.436722
45.719667,133.436722
45.719667,133.436722
34.924361,112.363333
34.924361,112.363333
34.924361,112.363333
34.924361,112.363333
34.924361,112.363333
34.924361,112.363333
31.072444,120.126806
31.072444,120.126806
31.072444,120.126806
31.259917,109.809139
31.259917,109.809139
31.259917,109.809139
31.259917,109.809139
31.259917,109.809139
31.259917,109.809139
39.767611,118.318472
39.767611,118.318472
39.767611,118.318472
39.767611,118.318472
39.767611,118.318472
39.767611,118.318472
39.767611,118.318472
39.767611,118.318472
33.278,118.793528
33.278,118.793528
33.278,118.793528
33.278,118.793528
33.278,118.793528
31.68333333,109.2
31.68333333,109.2
31.68333333,109.2
31.68333333,109.2
31.98333333,108.0833333
31.98333333,108.0833333
31.35,108.05
31.35,108.05
31.35,108.05
31.35,108.05
29.9,107.45
29.9,107.45
29.9,107.45
29.9,107.45
29.9,107.45
29.9,107.45
29.9,107.45
29.9,107.45
31.39625,120.2534
31.39625,120.2534
31.39625,120.2534
31.39625,120.2534
31.39625,120.2534
31.39625,120.2534
31.46195,120.0433333
31.46195,120.0433333
31.46195,120.0433333
34.916417,112.353806
34.916417,112.353806
34.916417,112.353806
34.916417,112.353806
34.916417,112.353806
34.916417,112.353806
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
22.850583,108.774333
48.350889,134.298639
48.350889,134.298639
48.350889,134.298639
48.350889,134.298639
48.350889,134.298639
48.350889,134.298639
48.350889,134.298639
34.943778,112.301722
34.943778,112.301722
34.943778,112.301722
34.943778,112.301722
34.943778,112.301722
34.943778,112.301722
25.899861,113.427083
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
29.7,107.3833333
30.83333333,108.3666667
30.83333333,108.3666667
30.83333333,108.3666667
30.83333333,108.3666667
