Collection_year,Region,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Trophic_level,log_weight,Wet_dry,Raw_cooked,log_mean_mehg,Precipitation_yearsum_mm,Ten_metre_wind_speed,Potential_evaporation_m,Surface_net_downward_shortwave_flux,log_hg_em_lag2,log_co2_em,log_ch4_em,Two_m_temperature_yearmax_runmean_K
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Carnivore,2.8,3.080914959,Wet,Raw,1.413299764,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Omnivore,2,2.942603249,Wet,Raw,1.025305865,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Omnivore,3.1,2.359076226,Wet,Raw,1.240549248,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Omnivore,2,2.838849091,Wet,Raw,0.785329835,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Omnivore,2,1,Wet,Raw,0.875061263,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Carnivore,3.5,2.374198258,Wet,Raw,1.426745749,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Omnivore,3.2,0.77815125,Wet,Raw,1.371067862,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2009,South_West_China,Reservoir,Wild,Freshwater,Finfish,Carnivore,3.7,2.84509804,Wet,Raw,2.13595376,1251.465864,3.357727289,-0.002603621,10378747,2.684868302,3.989126396,2.515588393,302.1706848
2011,East_China,Reservoir,Wild,Freshwater,Finfish,Carnivore,2,2.865616495,Wet,Raw,1.812244697,1270.020716,1.95968616,-0.003360532,13117489,2.694226912,4.421401397,2.597327577,307.0901794
2008,East_China,Reservoir,Wild,Freshwater,Finfish,Carnivore,4.4,2.973127854,Wet,Raw,1.92397645,1649.409905,1.851660728,-0.003181747,12915795,2.670956351,4.25974908,2.587496902,306.4671021
2008,East_China,Reservoir,Wild,Freshwater,Finfish,Carnivore,3.3,2.973127854,Wet,Raw,2.199621207,1649.409905,1.851660728,-0.003181747,12915795,2.670956351,4.25974908,2.587496902,306.4671021
