Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,175.582413
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,206.5043098
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,99.21106513
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,86.84002196
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,237.6588798
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.96878468
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,58.81066762
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,61.65939472
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,44.67643541
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,71.67991793
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,66.66029012
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.97502382
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,125.654268
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,18.50893427
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.67355928
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,32.83417704
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,15.83260114
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,23.91765925
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,25.28001259
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,10.24
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.97
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.69
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,10.24
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.97
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.69
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,10.24
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.97
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.69
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,10.24
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.97
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.69
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,100
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,27.57691927
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,26.46824368
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,7.127585254
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,18.24709536
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,17.49619372
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,45.43457494
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,123.56
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.72908372
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,12.65089485
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,22.49133306
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,37.47964364
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,53.98370501
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.59033868
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,42.4338855
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,36.92337962
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,37.20145995
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,59.66458059
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.07431745
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,20.59658629
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,32.83417704
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,53.4171994
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,53.91287558
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,26.30418928
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,35.39581698
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,35.18776353
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,61.23166085
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,10.8779971
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,19.3830483
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,28.70154342
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,50.51860545
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.48436582
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,35.95092254
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,29.86962824
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,27.33035219
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,52.49726558
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,12.65089485
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,22.7626763
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,35.39581698
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,49.46018194
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,52.35580804
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,36.36753182
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.69461431
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,30.14480534
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,50.6598124
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,14.83456143
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,23.44173443
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,40.82566657
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,57.53095531
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,49.81286588
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,40.75581451
