Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.658011397
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.097573864
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.312369322
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.326432219
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.478220066
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.497670154
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.747945877
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.90070259
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.76945611
2012,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.902894771
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.452093249
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.651278014
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.033504173
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.182614348
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.412964272
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.224014811
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.372359583
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.387389826
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.863263364
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.234770295
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.854913022
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.830588669
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.452093249
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.651278014
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.033504173
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.182614348
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.412964272
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.224014811
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.372359583
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.387389826
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.863263364
