sample_source,length,mehg
Wild,60,41.63092211
Wild,59.2,21.47525884
Wild,56,6.67355928
Wild,57,62.8
Wild,57,62.8
Wild,62.75,32.06758431
Wild,64.6,70.96172807
Wild,62.5,6.036705648
Wild,56.7,4.147598106
Farmed,60,12.8293727
Farmed,64.33,5.91
Farmed,59.7,12.36
Farmed,55.8,25.09
