year,lon,lat,mehg_ppb
2085,100,21.75,13.1695585
2085,100,22,2.949161632
2085,100,22.25,8.963520977
2085,100,22.5,8.624769362
2085,100,22.75,8.422808006
2085,100,23,8.807778599
2085,100,23.25,8.255403641
2085,100,23.5,9.242797044
2085,100,23.75,20.84765569
2085,100,24,20.84765569
2085,100,24.25,20.55746064
2085,100,24.5,9.242797044
2085,100,24.75,8.501099456
2085,100,25,24.02193074
2085,100,25.25,20.85150553
2085,100,25.5,9.338608632
2085,100,25.75,22.35095989
2085,100,26,6.456239198
2085,100,26.25,8.516349626
2085,100,26.5,7.106683532
2085,100,26.75,25.15847379
2085,100,27,24.05390988
2085,100,27.25,23.64502243
2085,100,27.5,21.04340172
2085,100,27.75,14.81580439
2085,100,28,38.91392657
2085,100,28.25,56.25392547
2085,100,28.5,65.83482028
2085,100,28.75,70.00329819
2085,100,29,64.19170999
2085,100,29.25,63.22105935
2085,100,29.5,70.63610269
2085,100,29.75,105.3462056
2085,100,30,105.3462056
2085,100,30.25,75.97763881
2085,100,30.5,78.44852089
2085,100,30.75,57.05557875
2085,100,31,57.33678297
2085,100,31.25,75.97763881
2085,100,31.5,89.59710292
2085,100,31.75,60.41857919
2085,100,32,27.3604662
2085,100,32.25,49.45907905
2085,100,32.5,64.44156795
2085,100,32.75,58.42532111
2085,100,33,68.26633883
2085,100,33.25,89.24518532
2085,100,33.5,53.69807884
2085,100,33.75,74.54709653
2085,100,34,74.43505294
2085,100,34.25,112.3829151
2085,100,34.5,109.5939025
2085,100,34.75,62.07379099
2085,100,35,52.62903224
2085,100,35.25,14.50023882
2085,100,35.5,19.49592839
2085,100,35.75,19.83572934
2085,100,36,23.8468775
2085,100,36.25,18.4533682
2085,100,36.5,17.41284629
2085,100,36.75,59.17437818
2085,100,37,69.330574
2085,100,37.25,16.06775058
2085,100,37.5,59.33969661
2085,100,37.75,37.61295038
2085,100,38,33.48792759
2085,100,38.25,32.91916579
2085,100,38.5,28.48432779
2085,100,38.75,19.8511865
2085,100,39,15.38668948
2085,100,39.25,9.418745359
2085,100,39.5,6.328864003
2085,100,39.75,5.602155428
2085,100,40,6.804194052
2085,100,40.25,5.605329895
2085,100,40.5,5.903335645
2085,100,40.75,6.279951748
2085,100,41,5.605329895
2085,100,41.25,6.804194052
2085,100,41.5,6.804194052
2085,100,41.75,6.804194052
2085,100,42,5.605329895
2085,100,42.25,7.067567045
2085,100,42.5,7.067567045
2085,100.25,21.5,17.90395659
2085,100.25,21.75,16.25589355
2085,100.25,22,6.859199569
2085,100.25,22.25,18.55338634
2085,100.25,22.5,20.21565566
2085,100.25,22.75,16.21269173
2085,100.25,23,16.22837266
2085,100.25,23.25,14.65033795
2085,100.25,23.5,20.01119094
2085,100.25,23.75,9.039993229
2085,100.25,24,9.07445467
2085,100.25,24.25,20.08427007
2085,100.25,24.5,8.704193837
2085,100.25,24.75,8.800383068
2085,100.25,25,18.72214895
2085,100.25,25.25,8.933721063
2085,100.25,25.5,6.230728084
2085,100.25,25.75,15.64363062
2085,100.25,26,19.8802476
2085,100.25,26.25,20.84765569
2085,100.25,26.5,9.911215628
2085,100.25,26.75,24.09665127
2085,100.25,27,21.71633511
2085,100.25,27.25,23.40521212
2085,100.25,27.5,22.87443478
2085,100.25,27.75,24.98802774
2085,100.25,28,22.37890303
2085,100.25,28.25,55.6072917
2085,100.25,28.5,68.0232809
2085,100.25,28.75,68.10971994
2085,100.25,29,65.98964085
2085,100.25,29.25,53.01241216
2085,100.25,29.5,53.01241216
2085,100.25,29.75,50.60981244
2085,100.25,30,49.78537709
2085,100.25,30.25,93.22589382
2085,100.25,30.5,13.86959536
2085,100.25,30.75,17.28688932
2085,100.25,31,57.16319837
2085,100.25,31.25,55.28883564
2085,100.25,31.5,56.68548792
2085,100.25,31.75,19.64793472
2085,100.25,32,22.99548668
2085,100.25,32.25,57.78622237
2085,100.25,32.5,53.01241216
2085,100.25,32.75,96.59939136
2085,100.25,33,89.24518532
2085,100.25,33.25,70.92357973
2085,100.25,33.5,62.38619683
2085,100.25,33.75,75.1273756
2085,100.25,34,110.7114065
2085,100.25,34.25,62.92794855
2085,100.25,34.5,72.3514168
2085,100.25,34.75,62.20992837
2085,100.25,35,18.82422355
2085,100.25,35.25,17.57611159
2085,100.25,35.5,21.65183233
2085,100.25,35.75,23.76076269
2085,100.25,36,23.37882172
2085,100.25,36.25,21.53198097
2085,100.25,36.5,47.27816284
2085,100.25,36.75,75.75557475
2085,100.25,37,69.330574
2085,100.25,37.25,48.56729532
2085,100.25,37.5,59.69043717
2085,100.25,37.75,48.82621575
2085,100.25,38,33.55150934
2085,100.25,38.25,33.58754703
2085,100.25,38.5,30.05232606
2085,100.25,38.75,15.55486699
2085,100.25,39,7.907372683
2085,100.25,39.25,8.129324531
2085,100.25,39.5,6.317355984
2085,100.25,39.75,6.350801011
2085,100.25,40,6.804194052
2085,100.25,40.25,7.067567045
2085,100.25,40.5,8.306584933
2085,100.25,40.75,5.87223445
2085,100.25,41,5.569748821
2085,100.25,41.25,6.804194052
2085,100.25,41.5,7.067567045
2085,100.25,41.75,7.067567045
2085,100.25,42,6.804194052
2085,100.25,42.25,5.605329895
2085,100.25,42.5,5.605329895
2085,100.5,21.5,15.62536968
2085,100.5,21.75,8.308300113
2085,100.5,22,8.162068888
2085,100.5,22.25,3.639347326
2085,100.5,22.5,14.58073716
2085,100.5,22.75,14.40420826
2085,100.5,23,13.61265273
2085,100.5,23.25,15.47831246
