year,lon,lat,mehg_ppb
2085,100,21.75,30.99630177
2085,100,22,5.303636931
2085,100,22.25,12.15248332
2085,100,22.5,11.81825048
2085,100,22.75,12.58759829
2085,100,23,12.86734411
2085,100,23.25,12.34571598
2085,100,23.5,12.9611186
2085,100,23.75,28.43243967
2085,100,24,28.54737817
2085,100,24.25,28.27860598
2085,100,24.5,10.79381832
2085,100,24.75,7.837846789
2085,100,25,32.28959596
2085,100,25.25,27.70139495
2085,100,25.5,11.32932538
2085,100,25.75,20.66681354
2085,100,26,7.489333777
2085,100,26.25,7.543098693
2085,100,26.5,7.837659294
2085,100,26.75,31.84878263
2085,100,27,25.5507821
2085,100,27.25,63.31594027
2085,100,27.5,70.0650895
2085,100,27.75,69.22205888
2085,100,28,90.41448371
2085,100,28.25,83.22807035
2085,100,28.5,95.54841697
2085,100,28.75,131.7869367
2085,100,29,89.94781178
2085,100,29.25,91.80869458
2085,100,29.5,93.01265551
2085,100,29.75,134.8816711
2085,100,30,134.8816711
2085,100,30.25,130.9771895
2085,100,30.5,132.1037839
2085,100,30.75,78.72174736
2085,100,31,85.35542478
2085,100,31.25,134.8816711
2085,100,31.5,132.2378952
2085,100,31.75,108.9466048
2085,100,32,95.54841697
2085,100,32.25,95.15786083
2085,100,32.5,97.05989386
2085,100,32.75,135.6984312
2085,100,33,133.3985553
2085,100,33.25,134.7739231
2085,100,33.5,133.619138
2085,100,33.75,83.9460594
2085,100,34,78.15462558
2085,100,34.25,128.2272552
2085,100,34.5,126.3933533
2085,100,34.75,130.8917903
2085,100,35,106.1199179
2085,100,35.25,77.09141511
2085,100,35.5,81.75853511
2085,100,35.75,82.0802829
2085,100,36,67.5471082
2085,100,36.25,51.98750243
2085,100,36.5,69.7259762
2085,100,36.75,92.22672154
2085,100,37,132.9264019
2085,100,37.25,82.69415989
2085,100,37.5,94.70159033
2085,100,37.75,63.48828563
2085,100,38,69.19543604
2085,100,38.25,65.59789453
2085,100,38.5,59.99286545
2085,100,38.75,68.02225346
2085,100,39,25.74686084
2085,100,39.25,33.31967293
2085,100,39.5,23.02126666
2085,100,39.75,19.60670465
2085,100,40,13.86825553
2085,100,40.25,13.31371119
2085,100,40.5,8.393602998
2085,100,40.75,7.420391163
2085,100,41,6.634487614
2085,100,41.25,7.854529391
2085,100,41.5,8.173633893
2085,100,41.75,7.854529391
2085,100,42,6.634487614
2085,100,42.25,8.173633893
2085,100,42.5,8.173633893
2085,100.25,21.5,46.36521664
2085,100.25,21.75,32.55733354
2085,100.25,22,11.86121237
2085,100.25,22.25,31.66337149
2085,100.25,22.5,32.35850339
2085,100.25,22.75,33.23270845
2085,100.25,23,32.68606723
2085,100.25,23.25,34.9173208
2085,100.25,23.5,29.93500395
2085,100.25,23.75,11.74758992
2085,100.25,24,11.85289253
2085,100.25,24.25,26.13255606
2085,100.25,24.5,11.58561218
2085,100.25,24.75,11.35971551
2085,100.25,25,24.93054045
2085,100.25,25.25,10.97388276
2085,100.25,25.5,7.198494104
2085,100.25,25.75,17.65928173
2085,100.25,26,27.61210791
2085,100.25,26.25,27.88016667
2085,100.25,26.5,11.85761483
2085,100.25,26.75,29.27910789
2085,100.25,27,24.8057872
2085,100.25,27.25,23.70626372
2085,100.25,27.5,25.08259549
2085,100.25,27.75,25.98718525
2085,100.25,28,71.98395669
2085,100.25,28.25,108.9466048
2085,100.25,28.5,91.16188996
2085,100.25,28.75,85.84408667
2085,100.25,29,83.801953
2085,100.25,29.25,78.37655428
2085,100.25,29.5,78.95837496
2085,100.25,29.75,124.5232095
2085,100.25,30,104.0682209
2085,100.25,30.25,126.0738122
2085,100.25,30.5,73.59728484
2085,100.25,30.75,83.49061742
2085,100.25,31,110.024792
2085,100.25,31.25,95.77451321
2085,100.25,31.5,105.4162002
2085,100.25,31.75,105.2326956
2085,100.25,32,94.15247833
2085,100.25,32.25,92.58660108
2085,100.25,32.5,135.2059588
2085,100.25,32.75,135.2976102
2085,100.25,33,135.0979517
2085,100.25,33.25,135.1628
2085,100.25,33.5,135.1130454
2085,100.25,33.75,78.33656472
2085,100.25,34,128.0538988
2085,100.25,34.25,80.92268693
2085,100.25,34.5,89.74941752
2085,100.25,34.75,84.11708064
2085,100.25,35,84.00105648
2085,100.25,35.25,63.04014724
2085,100.25,35.5,88.29654509
2085,100.25,35.75,65.45932453
2085,100.25,36,61.65698126
2085,100.25,36.25,52.0568551
2085,100.25,36.5,95.45917197
2085,100.25,36.75,121.3585993
2085,100.25,37,126.805092
2085,100.25,37.25,90.70896392
2085,100.25,37.5,89.63701318
2085,100.25,37.75,63.2272506
2085,100.25,38,76.60989835
2085,100.25,38.25,70.00641045
2085,100.25,38.5,73.20311166
2085,100.25,38.75,32.82609451
2085,100.25,39,27.70792671
2085,100.25,39.25,27.33711331
2085,100.25,39.5,13.68847812
2085,100.25,39.75,11.38148963
2085,100.25,40,14.062018
2085,100.25,40.25,13.85460485
2085,100.25,40.5,10.1166434
2085,100.25,40.75,7.410962498
2085,100.25,41,7.854811913
2085,100.25,41.25,8.173633893
2085,100.25,41.5,8.173633893
2085,100.25,41.75,8.173633893
2085,100.25,42,7.854529391
2085,100.25,42.25,6.634487614
2085,100.25,42.5,6.634487614
2085,100.5,21.5,34.30418481
2085,100.5,21.75,12.1408839
2085,100.5,22,12.05508417
2085,100.5,22.25,5.245708999
2085,100.5,22.5,36.62881701
2085,100.5,22.75,33.03432584
2085,100.5,23,28.02212567
2085,100.5,23.25,34.48902501
2085,100.5,23.5,29.4880189
2085,100.5,23.75,29.4880189
2085,100.5,24,28.92731123
2085,100.5,24.25,27.5187743
2085,100.5,24.5,28.22824766
2085,100.5,24.75,24.69951445
2085,100.5,25,7.430547285
2085,100.5,25.25,7.943273806
2085,100.5,25.5,7.849061279
2085,100.5,25.75,8.554842491
2085,100.5,26,11.74010054
2085,100.5,26.25,12.16378445
2085,100.5,26.5,32.49816623
2085,100.5,26.75,24.90148321
2085,100.5,27,21.3244751
2085,100.5,27.25,21.49806355
2085,100.5,27.5,32.15715553
2085,100.5,27.75,32.57891097
2085,100.5,28,20.3833848
2085,100.5,28.25,69.44525399
2085,100.5,28.5,69.60923412
2085,100.5,28.75,80.94427205
2085,100.5,29,78.72174736
2085,100.5,29.25,93.95879717
2085,100.5,29.5,131.2920899
2085,100.5,29.75,72.22870883
2085,100.5,30,114.4914061
2085,100.5,30.25,110.0518839
2085,100.5,30.5,83.2848597
2085,100.5,30.75,73.82137296
2085,100.5,31,91.80869458
2085,100.5,31.25,95.62242466
2085,100.5,31.5,100.3866911
2085,100.5,31.75,82.81805249
2085,100.5,32,93.81284444
2085,100.5,32.25,95.80251225
2085,100.5,32.5,135.2059588
2085,100.5,32.75,135.1628
2085,100.5,33,135.0979517
2085,100.5,33.25,133.7524086
2085,100.5,33.5,128.1866674
2085,100.5,33.75,128.5101515
