year,lon,lat,mehg_ppb
2022,100,21.75,24.42746187
2022,100,22,3.846909018
2022,100,22.25,9.314949396
2022,100,22.5,8.859843147
2022,100,22.75,8.469294036
2022,100,23,8.556431992
2022,100,23.25,8.66689148
2022,100,23.5,8.880269003
2022,100,23.75,18.93513617
2022,100,24,16.26275365
2022,100,24.25,16.32718173
2022,100,24.5,6.689454616
2022,100,24.75,6.733549089
2022,100,25,22.32402307
2022,100,25.25,16.2432312
2022,100,25.5,5.268843423
2022,100,25.75,40.61577443
2022,100,26,5.251820219
2022,100,26.25,4.814768418
2022,100,26.5,4.852766648
2022,100,26.75,40.63334337
2022,100,27,46.33543019
2022,100,27.25,55.11939457
2022,100,27.5,54.03108201
2022,100,27.75,56.75609052
2022,100,28,58.89295991
2022,100,28.25,58.17843868
2022,100,28.5,58.35930093
2022,100,28.75,58.74555788
2022,100,29,58.97580024
2022,100,29.25,57.40927797
2022,100,29.5,59.81806212
2022,100,29.75,59.23091352
2022,100,30,57.68025351
2022,100,30.25,59.64225256
2022,100,30.5,58.92860452
2022,100,30.75,58.70521445
2022,100,31,60.1488438
2022,100,31.25,60.44833274
2022,100,31.5,59.94018129
2022,100,31.75,58.53070984
2022,100,32,91.044866
2022,100,32.25,93.37785912
2022,100,32.5,76.39405333
2022,100,32.75,58.3637508
2022,100,33,70.27856082
2022,100,33.25,47.990546
2022,100,33.5,87.64270135
2022,100,33.75,87.92373446
2022,100,34,55.91471957
2022,100,34.25,57.19866836
2022,100,34.5,57.48857978
2022,100,34.75,57.81312214
2022,100,35,57.12614232
2022,100,35.25,53.29283343
2022,100,35.5,57.84337166
2022,100,35.75,58.69817195
2022,100,36,46.74713947
2022,100,36.25,46.47572381
2022,100,36.5,52.89779533
2022,100,36.75,84.875543
2022,100,37,109.0600782
2022,100,37.25,48.97857651
2022,100,37.5,54.44360652
2022,100,37.75,58.96094877
2022,100,38,53.79498467
2022,100,38.25,52.81649358
2022,100,38.5,56.12768273
2022,100,38.75,45.90596547
2022,100,39,23.40713922
2022,100,39.25,22.53671988
2022,100,39.5,16.21978924
2022,100,39.75,14.3888148
2022,100,40,12.01209385
2022,100,40.25,13.8044561
2022,100,40.5,8.686226718
2022,100,40.75,8.60347037
2022,100,41,6.499031341
2022,100,41.25,6.319747269
2022,100,41.5,10.68230201
2022,100,41.75,8.688181611
2022,100,42,5.414550832
