year,lon,lat,mehg_ppb
2045,100,21.75,30.81208809
2045,100,22,5.341384543
2045,100,22.25,12.15248332
2045,100,22.5,11.74095144
2045,100,22.75,12.58759829
2045,100,23,12.86734411
2045,100,23.25,12.31144317
2045,100,23.5,12.87431811
2045,100,23.75,28.52635119
2045,100,24,28.07697038
2045,100,24.25,27.93289484
2045,100,24.5,10.66570855
2045,100,24.75,8.042647001
2045,100,25,31.89484973
2045,100,25.25,27.43738941
2045,100,25.5,11.15812999
2045,100,25.75,21.86370296
2045,100,26,6.293814418
2045,100,26.25,6.630516012
2045,100,26.5,6.711523522
2045,100,26.75,24.72103221
2045,100,27,61.17603184
2045,100,27.25,69.18005426
2045,100,27.5,88.98689254
2045,100,27.75,101.7093347
2045,100,28,94.3442018
2045,100,28.25,84.9365907
2045,100,28.5,99.75478767
2045,100,28.75,135.2007863
2045,100,29,97.89542773
2045,100,29.25,93.60790584
2045,100,29.5,98.23723219
2045,100,29.75,139.1199524
2045,100,30,139.1199524
2045,100,30.25,137.9502533
2045,100,30.5,130.9771895
2045,100,30.75,129.3296282
2045,100,31,138.043765
2045,100,31.25,139.325555
2045,100,31.5,135.3729623
2045,100,31.75,97.33804546
2045,100,32,135.6333259
2045,100,32.25,84.76435499
2045,100,32.5,84.3805971
2045,100,32.75,135.1290143
2045,100,33,133.1424816
2045,100,33.25,137.9062185
2045,100,33.5,133.2986563
2045,100,33.75,85.54454406
2045,100,34,83.90632124
2045,100,34.25,132.1676079
2045,100,34.5,130.2773513
2045,100,34.75,133.8537819
2045,100,35,131.0651764
2045,100,35.25,102.6435002
2045,100,35.5,84.52038063
2045,100,35.75,81.9134818
2045,100,36,78.44997887
2045,100,36.25,60.44202921
2045,100,36.5,73.09188445
2045,100,36.75,79.24802888
2045,100,37,132.9264019
2045,100,37.25,69.07542041
2045,100,37.5,86.36589176
2045,100,37.75,92.75995421
2045,100,38,87.63754682
2045,100,38.25,90.3106435
2045,100,38.5,78.33656472
2045,100,38.75,65.54590746
2045,100,39,62.85177428
2045,100,39.25,28.6532885
2045,100,39.5,26.67009237
2045,100,39.75,28.157334
2045,100,40,31.89252155
2045,100,40.25,23.32824014
2045,100,40.5,20.78708231
2045,100,40.75,11.95334584
2045,100,41,13.86825553
2045,100,41.25,14.062018
2045,100,41.5,13.85460485
2045,100,41.75,13.85460485
2045,100,42,13.31371119
2045,100,42.25,13.85460485
2045,100,42.5,14.28635242
2045,100.25,21.5,46.2386212
2045,100.25,21.75,31.87116267
2045,100.25,22,12.50168891
2045,100.25,22.25,32.56812146
2045,100.25,22.5,33.46701081
2045,100.25,22.75,33.70183097
2045,100.25,23,34.39594053
2045,100.25,23.25,34.9173208
2045,100.25,23.5,30.6763348
2045,100.25,23.75,12.03851525
2045,100.25,24,11.7701064
2045,100.25,24.25,27.08285967
2045,100.25,24.5,11.42944469
2045,100.25,24.75,11.30119791
2045,100.25,25,25.31380586
2045,100.25,25.25,10.97388276
2045,100.25,25.5,7.134411175
2045,100.25,25.75,17.30313611
2045,100.25,26,25.80721244
2045,100.25,26.25,27.2472414
2045,100.25,26.5,11.80523745
2045,100.25,26.75,24.93679352
2045,100.25,27,59.56352048
