year,lon,lat,mehg_ppb
2045,100,21.75,30.81208809
2045,100,22,5.341384543
2045,100,22.25,12.15248332
2045,100,22.5,11.74095144
2045,100,22.75,12.58759829
2045,100,23,12.86734411
2045,100,23.25,12.34493772
2045,100,23.5,12.87431811
2045,100,23.75,28.52635119
2045,100,24,28.11311437
2045,100,24.25,27.89128581
2045,100,24.5,11.79582232
2045,100,24.75,10.97388276
2045,100,25,32.82562552
2045,100,25.25,28.16899946
2045,100,25.5,11.15812999
2045,100,25.75,24.63327384
2045,100,26,6.253547183
2045,100,26.25,8.348255192
2045,100,26.5,7.915786971
2045,100,26.75,25.1600316
2045,100,27,67.09355908
2045,100,27.25,61.58026662
2045,100,27.5,67.87518356
2045,100,27.75,101.9600616
2045,100,28,94.77909605
2045,100,28.25,97.37465707
2045,100,28.5,97.53583009
2045,100,28.75,130.9771895
2045,100,29,94.83722946
2045,100,29.25,91.59546598
2045,100,29.5,95.16835615
2045,100,29.75,139.1199524
2045,100,30,139.1199524
2045,100,30.25,134.8816711
2045,100,30.5,131.2920899
2045,100,30.75,103.8405131
2045,100,31,134.9731028
2045,100,31.25,138.043765
2045,100,31.5,135.3729623
2045,100,31.75,97.33804546
2045,100,32,86.12490181
2045,100,32.25,97.33804546
2045,100,32.5,84.3805971
2045,100,32.75,135.1130454
2045,100,33,133.0786027
2045,100,33.25,134.7739231
2045,100,33.5,133.2347024
2045,100,33.75,85.45930765
2045,100,34,84.06773182
2045,100,34.25,139.325555
2045,100,34.5,137.3329256
2045,100,34.75,131.1280889
2045,100,35,131.5933987
2045,100,35.25,97.35162328
2045,100,35.5,80.57772709
2045,100,35.75,76.56905925
2045,100,36,70.57261837
2045,100,36.25,59.10184026
2045,100,36.5,69.3969221
2045,100,36.75,83.53007949
2045,100,37,132.9264019
2045,100,37.25,69.66338835
2045,100,37.5,91.0433047
2045,100,37.75,93.61020269
2045,100,38,89.61447869
2045,100,38.25,90.3106435
2045,100,38.5,89.87417093
2045,100,38.75,65.54590746
2045,100,39,68.04024585
2045,100,39.25,28.85482405
2045,100,39.5,26.61412442
2045,100,39.75,27.76538974
2045,100,40,31.89252155
2045,100,40.25,13.86825553
2045,100,40.5,11.46277212
2045,100,40.75,12.09552081
2045,100,41,13.51302678
2045,100,41.25,13.75504768
2045,100,41.5,13.85460485
2045,100,41.75,8.173633893
2045,100,42,7.854529391
2045,100,42.25,13.85460485
2045,100,42.5,13.47022894
2045,100.25,21.5,46.2386212
2045,100.25,21.75,32.32993795
2045,100.25,22,11.94563226
2045,100.25,22.25,32.56812146
2045,100.25,22.5,33.46701081
2045,100.25,22.75,33.70183097
2045,100.25,23,33.1474732
2045,100.25,23.25,34.76351307
2045,100.25,23.5,30.6763348
2045,100.25,23.75,12.03667486
2045,100.25,24,12.09180925
2045,100.25,24.25,27.04568125
2045,100.25,24.5,11.54187602
2045,100.25,24.75,11.56470838
2045,100.25,25,25.37342665
2045,100.25,25.25,12.07039463
2045,100.25,25.5,7.288011631
2045,100.25,25.75,20.01144184
2045,100.25,26,28.04628338
2045,100.25,26.25,27.80938546
2045,100.25,26.5,11.80885031
2045,100.25,26.75,25.22864377
2045,100.25,27,29.0030369
