scenarios,change_rate
A_omnivore_near_ssp245,0.673098198
A_omnivore_near_ssp245,-0.151921277
A_omnivore_near_ssp245,0.262716769
A_omnivore_near_ssp245,-0.130484565
A_omnivore_near_ssp245,-0.305141465
A_omnivore_near_ssp245,-0.511613037
A_omnivore_near_ssp245,-0.325143721
A_omnivore_near_ssp245,-0.16693593
A_omnivore_near_ssp245,0.004333793
A_omnivore_near_ssp245,0.036965759
A_omnivore_near_ssp245,0.640078554
A_omnivore_near_ssp245,0.041240383
A_omnivore_near_ssp245,0.159495886
A_omnivore_near_ssp245,0.057777025
A_omnivore_near_ssp245,0.686560926
A_omnivore_near_ssp245,0.039819853
A_omnivore_near_ssp245,0.060466471
A_omnivore_near_ssp245,0.491878961
A_omnivore_near_ssp245,0.793149253
A_omnivore_near_ssp245,1.105154672
A_omnivore_near_ssp245,1.553866127
A_omnivore_near_ssp245,1.4298471
A_omnivore_near_ssp245,0.656391119
A_omnivore_near_ssp245,0.672295415
A_omnivore_near_ssp245,-0.008817363
A_omnivore_near_ssp245,-0.128586599
A_omnivore_near_ssp245,-0.082974595
A_omnivore_near_ssp245,-0.310098349
A_omnivore_near_ssp245,-0.5729469
A_omnivore_near_ssp245,-0.568608795
A_omnivore_near_ssp245,-0.34766332
A_omnivore_near_ssp245,-0.368845047
A_omnivore_near_ssp245,0.045305656
A_omnivore_near_ssp245,0.745197612
A_omnivore_near_ssp245,0.655225003
A_omnivore_near_ssp245,0.679517391
A_omnivore_near_ssp245,-0.039568811
A_omnivore_near_ssp245,0.647929867
A_omnivore_near_ssp245,0.07083798
A_omnivore_near_ssp245,0.039531846
A_omnivore_near_ssp245,0.053987755
A_omnivore_near_ssp245,0.455840094
A_omnivore_near_ssp245,0.825167196
A_omnivore_near_ssp245,1.227767827
A_omnivore_near_ssp245,0.709935637
A_omnivore_near_ssp245,0.650525634
A_omnivore_near_ssp245,0.651195436
A_omnivore_near_ssp245,-0.073858256
A_omnivore_near_ssp245,-0.083588865
A_omnivore_near_ssp245,0.055432326
A_omnivore_near_ssp245,-0.398625892
A_omnivore_near_ssp245,-0.57685625
A_omnivore_near_ssp245,-0.275713239
A_omnivore_near_ssp245,-0.184127783
A_omnivore_near_ssp245,0.034132858
A_omnivore_near_ssp245,0.044271017
A_omnivore_near_ssp245,0.057777025
A_omnivore_near_ssp245,0.664275276
A_omnivore_near_ssp245,0.03719092
A_omnivore_near_ssp245,-0.053849657
A_omnivore_near_ssp245,0.581620439
A_omnivore_near_ssp245,0.011526706
A_omnivore_near_ssp245,-0.057359544
A_omnivore_near_ssp245,-0.176004876
A_omnivore_near_ssp245,0.440458908
A_omnivore_near_ssp245,0.795401301
A_omnivore_near_ssp245,0.836944556
A_omnivore_near_ssp245,0.652581459
A_omnivore_near_ssp245,-0.060145394
A_omnivore_near_ssp245,0.647492294
A_omnivore_near_ssp245,-0.086971204
A_omnivore_near_ssp245,-0.0824061
A_omnivore_near_ssp245,0.104236709
A_omnivore_near_ssp245,-0.031588458
A_omnivore_near_ssp245,-0.596372968
A_omnivore_near_ssp245,-0.245520516
A_omnivore_near_ssp245,0.093196304
A_omnivore_near_ssp245,0.085674642
A_omnivore_near_ssp245,0.058248085
A_omnivore_near_ssp245,0.041240383
A_omnivore_near_ssp245,0.041240383
A_omnivore_near_ssp245,0.692495611
A_omnivore_near_ssp245,0.532546966
A_omnivore_near_ssp245,0.451103945
A_omnivore_near_ssp245,-0.063309011
A_omnivore_near_ssp245,-0.117026167
A_omnivore_near_ssp245,0.046472308
A_omnivore_near_ssp245,0.913459783
A_omnivore_near_ssp245,0.492231255
A_omnivore_near_ssp245,0.84842418
A_omnivore_near_ssp245,1.281532642
A_omnivore_near_ssp245,1.299165581
A_omnivore_near_ssp245,0.746117422
A_omnivore_near_ssp245,0.703854971
A_omnivore_near_ssp245,0.284717214
A_omnivore_near_ssp245,0.643076819
A_omnivore_near_ssp245,-0.010217157
A_omnivore_near_ssp245,-0.084978212
A_omnivore_near_ssp245,-0.35617307
A_omnivore_near_ssp245,-0.350746614
A_omnivore_near_ssp245,-0.569062604
A_omnivore_near_ssp245,0.739934842
A_omnivore_near_ssp245,0.423562209
A_omnivore_near_ssp245,0.421322923
A_omnivore_near_ssp245,0.873440712
A_omnivore_near_ssp245,0.73216887
A_omnivore_near_ssp245,0.333719978
A_omnivore_near_ssp245,0.041240383
A_omnivore_near_ssp245,0.849747207
A_omnivore_near_ssp245,0.60934391
A_omnivore_near_ssp245,-0.098713729
A_omnivore_near_ssp245,-0.019588369
A_omnivore_near_ssp245,0.343288399
A_omnivore_near_ssp245,0.549500281
A_omnivore_near_ssp245,-0.152628254
A_omnivore_near_ssp245,0.011774196
A_omnivore_near_ssp245,0.465337366
A_omnivore_near_ssp245,0.44624342
A_omnivore_near_ssp245,0.978002095
A_omnivore_near_ssp245,1.006440763
A_omnivore_near_ssp245,1.175587094
A_omnivore_near_ssp245,0.94278132
A_omnivore_near_ssp245,0.274350243
A_omnivore_near_ssp245,-0.009584496
A_omnivore_near_ssp245,-0.010854978
A_omnivore_near_ssp245,-0.02743145
A_omnivore_near_ssp245,0.077720113
A_omnivore_near_ssp245,-0.123174683
A_omnivore_near_ssp245,-0.478836866
A_omnivore_near_ssp245,-0.36223383
A_omnivore_near_ssp245,0.035819199
A_omnivore_near_ssp245,0.397104282
A_omnivore_near_ssp245,0.879871593
A_omnivore_near_ssp245,0.946585136
A_omnivore_near_ssp245,0.862155384
A_omnivore_near_ssp245,1.045694115
A_omnivore_near_ssp245,0.376248747
A_omnivore_near_ssp245,0.34070029
A_omnivore_near_ssp245,0.545235103
A_omnivore_near_ssp245,-0.125494695
A_omnivore_near_ssp245,-0.027326947
A_omnivore_near_ssp245,0.199198119
A_omnivore_near_ssp245,1.026321551
A_omnivore_near_ssp245,-0.225401642
A_omnivore_near_ssp245,0.482804967
A_omnivore_near_ssp245,0.440862005
A_omnivore_near_ssp245,0.729945988
A_omnivore_near_ssp245,1.136649566
A_omnivore_near_ssp245,0.43988612
A_omnivore_near_ssp245,1.069999421
A_omnivore_near_ssp245,0.167013619
A_omnivore_near_ssp245,0.775680377
A_omnivore_near_ssp245,0.930187008
A_omnivore_near_ssp245,1.043483996
A_omnivore_near_ssp245,0.982456385
A_omnivore_near_ssp245,0.959895704
A_omnivore_near_ssp245,0.954288787
A_omnivore_near_ssp245,0.055900767
A_omnivore_near_ssp245,0.988897962
A_omnivore_near_ssp245,0.689363716
A_omnivore_near_ssp245,0.550967303
A_omnivore_near_ssp245,0.550876352
A_omnivore_near_ssp245,-0.163726009
A_omnivore_near_ssp245,-0.256251944
A_omnivore_near_ssp245,-0.566112705
A_omnivore_near_ssp245,0.107136393
A_omnivore_near_ssp245,0.187657587
A_omnivore_near_ssp245,0.708629971
A_omnivore_near_ssp245,1.542872078
A_omnivore_near_ssp245,1.432579416
A_omnivore_near_ssp245,1.080806851
A_omnivore_near_ssp245,0.848432196
A_omnivore_near_ssp245,1.466436279
A_omnivore_near_ssp245,0.205693221
A_omnivore_near_ssp245,0.65951997
A_omnivore_near_ssp245,0.166428076
A_omnivore_near_ssp245,0.358861477
A_omnivore_near_ssp245,-0.109837422
A_omnivore_near_ssp245,0.105666852
A_omnivore_near_ssp245,0.196325357
A_omnivore_near_ssp245,0.126864253
A_omnivore_near_ssp245,0.421502249
A_omnivore_near_ssp245,0.17370629
A_omnivore_near_ssp245,0.466314245
A_omnivore_near_ssp245,0.326622614
A_omnivore_near_ssp245,0.063717305
A_omnivore_near_ssp245,0.186768043
A_omnivore_near_ssp245,0.593308104
A_omnivore_near_ssp245,0.425190101
A_omnivore_near_ssp245,-0.288523661
A_omnivore_near_ssp245,1.388551122
A_omnivore_near_ssp245,0.941895313
A_omnivore_near_ssp245,1.008395083
A_omnivore_near_ssp245,1.109353114
A_omnivore_near_ssp245,0.883274131
A_omnivore_near_ssp245,0.298027403
A_omnivore_near_ssp245,0.637544996
A_omnivore_near_ssp245,0.683563476
A_omnivore_near_ssp245,0.738535283
A_omnivore_near_ssp245,0.549691918
A_omnivore_near_ssp245,-0.216171585
A_omnivore_near_ssp245,-0.024032827
A_omnivore_near_ssp245,-0.309830754
A_omnivore_near_ssp245,-0.585354873
A_omnivore_near_ssp245,0.040221674
A_omnivore_near_ssp245,0.272738708
A_omnivore_near_ssp245,0.873440712
A_omnivore_near_ssp245,0.946585135
A_omnivore_near_ssp245,0.848432196
A_omnivore_near_ssp245,0.787932212
A_omnivore_near_ssp245,1.08627485
A_omnivore_near_ssp245,1.608629169
A_omnivore_near_ssp245,0.55122086
A_omnivore_near_ssp245,0.672985621
A_omnivore_near_ssp245,1.078166643
A_omnivore_near_ssp245,-0.022276135
A_omnivore_near_ssp245,-0.061925736
A_omnivore_near_ssp245,0.233055646
A_omnivore_near_ssp245,0.951633199
A_omnivore_near_ssp245,-0.064708428
A_omnivore_near_ssp245,0.151412909
A_omnivore_near_ssp245,0.603904413
A_omnivore_near_ssp245,0.268711131
A_omnivore_near_ssp245,0.100495545
A_omnivore_near_ssp245,0.134254652
A_omnivore_near_ssp245,0.330098757
A_omnivore_near_ssp245,0.757434618
A_omnivore_near_ssp245,0.219807027
A_omnivore_near_ssp245,0.293346659
A_omnivore_near_ssp245,-0.142888323
A_omnivore_near_ssp245,1.549149626
A_omnivore_near_ssp245,0.424640731
A_omnivore_near_ssp245,-0.307987151
A_omnivore_near_ssp245,0.567668206
A_omnivore_near_ssp245,0.785513918
A_omnivore_near_ssp245,0.834117539
A_omnivore_near_ssp245,0.935487529
A_omnivore_near_ssp245,0.313028643
A_omnivore_near_ssp245,0.068236125
A_omnivore_near_ssp245,0.037356009
A_omnivore_near_ssp245,0.04887607
A_omnivore_near_ssp245,0.248882577
A_omnivore_near_ssp245,0.59424628
A_omnivore_near_ssp245,-0.141874125
A_omnivore_near_ssp245,-0.459844262
A_omnivore_near_ssp245,-0.025880205
A_omnivore_near_ssp245,-0.379168401
A_omnivore_near_ssp245,0.031843191
A_omnivore_near_ssp245,0.438327033
A_omnivore_near_ssp245,0.862155384
A_omnivore_near_ssp245,0.848432196
A_omnivore_near_ssp245,0.785790215
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.855512515
A_omnivore_near_ssp245,1.44189728
A_omnivore_near_ssp245,1.631989271
A_omnivore_near_ssp245,0.214738165
A_omnivore_near_ssp245,0.340604256
A_omnivore_near_ssp245,0.252453557
A_omnivore_near_ssp245,0.311000665
A_omnivore_near_ssp245,0.275921456
A_omnivore_near_ssp245,0.474879568
A_omnivore_near_ssp245,1.126645108
A_omnivore_near_ssp245,-0.152171365
A_omnivore_near_ssp245,-0.129724479
A_omnivore_near_ssp245,0.397849059
A_omnivore_near_ssp245,0.319367899
A_omnivore_near_ssp245,0.601895762
A_omnivore_near_ssp245,0.117074666
A_omnivore_near_ssp245,0.656884827
A_omnivore_near_ssp245,0.334024055
A_omnivore_near_ssp245,0.938806582
A_omnivore_near_ssp245,-0.262792125
A_omnivore_near_ssp245,-0.282453176
A_omnivore_near_ssp245,1.378653838
A_omnivore_near_ssp245,-0.297110109
A_omnivore_near_ssp245,-0.139406043
A_omnivore_near_ssp245,1.526106821
A_omnivore_near_ssp245,1.014207392
A_omnivore_near_ssp245,0.26357219
A_omnivore_near_ssp245,0.532041128
A_omnivore_near_ssp245,0.453386654
A_omnivore_near_ssp245,-0.297272798
A_omnivore_near_ssp245,-0.418517409
A_omnivore_near_ssp245,0.490731738
A_omnivore_near_ssp245,1.558974438
A_omnivore_near_ssp245,0.217587165
A_omnivore_near_ssp245,-0.227660891
A_omnivore_near_ssp245,-0.28344808
A_omnivore_near_ssp245,-0.309803952
A_omnivore_near_ssp245,-0.372310998
A_omnivore_near_ssp245,0.147342635
A_omnivore_near_ssp245,0.453618095
A_omnivore_near_ssp245,0.410744707
A_omnivore_near_ssp245,0.773642517
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.785790215
A_omnivore_near_ssp245,0.785790215
A_omnivore_near_ssp245,1.092548377
A_omnivore_near_ssp245,0.802516182
A_omnivore_near_ssp245,0.918070143
A_omnivore_near_ssp245,0.357314861
A_omnivore_near_ssp245,0.38716025
A_omnivore_near_ssp245,0.070470496
A_omnivore_near_ssp245,0.747269013
A_omnivore_near_ssp245,-0.205714456
A_omnivore_near_ssp245,-0.052041788
A_omnivore_near_ssp245,-0.333880719
A_omnivore_near_ssp245,-0.037272839
A_omnivore_near_ssp245,0.749792328
A_omnivore_near_ssp245,0.228155574
A_omnivore_near_ssp245,0.124752687
A_omnivore_near_ssp245,-0.085539203
A_omnivore_near_ssp245,0.294399289
A_omnivore_near_ssp245,-0.259426191
A_omnivore_near_ssp245,-0.011958702
A_omnivore_near_ssp245,-0.230998118
A_omnivore_near_ssp245,0.389215569
A_omnivore_near_ssp245,-0.095652824
A_omnivore_near_ssp245,0.198518368
A_omnivore_near_ssp245,1.392800234
A_omnivore_near_ssp245,1.019505229
A_omnivore_near_ssp245,0.250058018
A_omnivore_near_ssp245,0.35463194
A_omnivore_near_ssp245,0.264180911
A_omnivore_near_ssp245,-0.283338502
A_omnivore_near_ssp245,0.279691653
A_omnivore_near_ssp245,0.908507084
A_omnivore_near_ssp245,1.386051147
A_omnivore_near_ssp245,0.123823242
A_omnivore_near_ssp245,-0.225122716
A_omnivore_near_ssp245,-0.117854898
A_omnivore_near_ssp245,-0.312112204
A_omnivore_near_ssp245,-0.498451348
A_omnivore_near_ssp245,0.048552602
A_omnivore_near_ssp245,0.061590718
A_omnivore_near_ssp245,0.816678731
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.770737601
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.785790215
A_omnivore_near_ssp245,0.7990888
A_omnivore_near_ssp245,0.790837399
A_omnivore_near_ssp245,0.771291579
A_omnivore_near_ssp245,0.372625762
A_omnivore_near_ssp245,1.164391309
A_omnivore_near_ssp245,-0.267370146
A_omnivore_near_ssp245,-0.242022294
A_omnivore_near_ssp245,-0.772731086
A_omnivore_near_ssp245,0.072322872
A_omnivore_near_ssp245,0.153469649
A_omnivore_near_ssp245,0.150336124
A_omnivore_near_ssp245,0.413347692
A_omnivore_near_ssp245,0.633777218
A_omnivore_near_ssp245,0.697972727
A_omnivore_near_ssp245,1.046242859
A_omnivore_near_ssp245,0.980518602
A_omnivore_near_ssp245,-0.302144082
A_omnivore_near_ssp245,0.162322894
A_omnivore_near_ssp245,-0.314263984
A_omnivore_near_ssp245,0.404040382
A_omnivore_near_ssp245,0.30969024
A_omnivore_near_ssp245,-0.360173689
A_omnivore_near_ssp245,0.164911775
A_omnivore_near_ssp245,0.491335103
A_omnivore_near_ssp245,1.103782025
A_omnivore_near_ssp245,0.025107586
A_omnivore_near_ssp245,0.355838114
A_omnivore_near_ssp245,0.214682678
A_omnivore_near_ssp245,0.1984061
A_omnivore_near_ssp245,0.864971031
A_omnivore_near_ssp245,0.999029384
A_omnivore_near_ssp245,0.543270674
A_omnivore_near_ssp245,0.134483272
A_omnivore_near_ssp245,0.373199585
A_omnivore_near_ssp245,-0.05593835
A_omnivore_near_ssp245,-0.357247726
A_omnivore_near_ssp245,0.136034948
A_omnivore_near_ssp245,0.378755792
A_omnivore_near_ssp245,0.039347055
A_omnivore_near_ssp245,0.816678732
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.789043301
A_omnivore_near_ssp245,0.807538244
A_omnivore_near_ssp245,0.839391721
A_omnivore_near_ssp245,0.859838755
A_omnivore_near_ssp245,0.922066628
A_omnivore_near_ssp245,0.306366966
A_omnivore_near_ssp245,0.810784657
A_omnivore_near_ssp245,0.436415332
A_omnivore_near_ssp245,-0.169556324
A_omnivore_near_ssp245,-0.59004782
A_omnivore_near_ssp245,-0.409821684
A_omnivore_near_ssp245,0.271599021
A_omnivore_near_ssp245,0.280169343
A_omnivore_near_ssp245,0.397422974
A_omnivore_near_ssp245,0.298593401
A_omnivore_near_ssp245,0.351253817
A_omnivore_near_ssp245,0.371780188
A_omnivore_near_ssp245,0.192458108
A_omnivore_near_ssp245,0.130287374
A_omnivore_near_ssp245,0.885742717
A_omnivore_near_ssp245,0.300812939
A_omnivore_near_ssp245,-0.312024409
A_omnivore_near_ssp245,0.260670532
A_omnivore_near_ssp245,0.249663988
A_omnivore_near_ssp245,-0.04856242
A_omnivore_near_ssp245,-0.349432841
A_omnivore_near_ssp245,0.300123696
A_omnivore_near_ssp245,0.3206455
A_omnivore_near_ssp245,0.996322226
A_omnivore_near_ssp245,1.051259805
A_omnivore_near_ssp245,0.689810039
A_omnivore_near_ssp245,0.147044601
A_omnivore_near_ssp245,-0.199499911
A_omnivore_near_ssp245,0.850823797
A_omnivore_near_ssp245,0.990538196
A_omnivore_near_ssp245,0.547299902
A_omnivore_near_ssp245,0.637491056
A_omnivore_near_ssp245,0.301572854
A_omnivore_near_ssp245,-0.025647963
A_omnivore_near_ssp245,0.002806203
A_omnivore_near_ssp245,0.051968618
A_omnivore_near_ssp245,0.205693221
A_omnivore_near_ssp245,0.376248747
A_omnivore_near_ssp245,0.342441194
A_omnivore_near_ssp245,0.825795223
A_omnivore_near_ssp245,0.825795222
A_omnivore_near_ssp245,0.829121184
A_omnivore_near_ssp245,0.804251527
A_omnivore_near_ssp245,0.84780015
A_omnivore_near_ssp245,1.109734266
A_omnivore_near_ssp245,1.447004576
A_omnivore_near_ssp245,0.559546433
A_omnivore_near_ssp245,0.575126402
A_omnivore_near_ssp245,0.077693868
A_omnivore_near_ssp245,-0.360398325
A_omnivore_near_ssp245,-0.565017274
A_omnivore_near_ssp245,-0.803287622
A_omnivore_near_ssp245,0.094080865
A_omnivore_near_ssp245,0.051982997
A_omnivore_near_ssp245,0.251863017
A_omnivore_near_ssp245,0.655905748
A_omnivore_near_ssp245,0.714177103
A_omnivore_near_ssp245,0.114389416
A_omnivore_near_ssp245,0.230193799
A_omnivore_near_ssp245,0.221821008
A_omnivore_near_ssp245,0.392331156
A_omnivore_near_ssp245,0.26412131
A_omnivore_near_ssp245,0.388566725
A_omnivore_near_ssp245,0.38459351
A_omnivore_near_ssp245,0.119063204
A_omnivore_near_ssp245,1.393390796
A_omnivore_near_ssp245,0.410267312
A_omnivore_near_ssp245,0.178276611
A_omnivore_near_ssp245,-0.067540768
A_omnivore_near_ssp245,0.122598112
A_omnivore_near_ssp245,0.075776119
A_omnivore_near_ssp245,-0.323791305
A_omnivore_near_ssp245,-0.098998152
